epoch,split,label,hypo,hyper,katz,sat
39,train_pos,1,supermarket,commercial building,0.0,0.5605461597442627
39,train_pos,1,hand tool,tool,0.0,0.561011552810669
39,train_pos,1,peach,fruit,0.0,0.5910226702690125
39,train_pos,1,pike,fish,0.0,0.548295259475708
39,train_pos,1,nail gun,power tool,0.0,0.555310845375061
39,train_pos,1,workshop,industrial building,0.0,0.5410575270652771
39,train_pos,1,noodles,grain product,0.0,0.5968608260154724
39,train_pos,1,tortilla,grain product,0.0,0.6204208135604858
39,train_pos,1,store,commercial building,0.0,0.560858428478241
39,train_pos,1,flowering plant,plant,0.0,0.5590644478797913
39,train_pos,1,fish,animal,0.0,0.5529749393463135
39,train_pos,1,glider,aircraft,0.0,0.5632771849632263
39,train_pos,1,aircraft,vehicle,0.0,0.5850394368171692
39,train_pos,1,meat,food,0.0,0.5857147574424744
39,train_pos,1,clothing,physical object,0.0,0.5558198690414429
39,train_pos,1,ferry,watercraft,0.0,0.5960270762443542
39,train_pos,1,plant,physical object,0.0,0.5438683032989502
39,train_pos,1,oak,tree,0.0,0.5849729180335999
39,train_pos,1,saw,hand tool,0.0,0.5832991600036621
39,train_pos,1,scarf,accessory,0.0,0.5626210570335388
39,train_pos,1,salmon,fish,0.0,0.5484762787818909
39,train_pos,1,bacon,meat,0.0,0.5935083627700806
39,train_pos,1,viola,string instrument,0.0,0.5587272644042969
39,train_pos,1,road vehicle,vehicle,0.0,0.5826857089996338
39,train_pos,1,mosquito,insect,0.0,0.5861600637435913
39,train_pos,1,trousers,lower body clothing,0.0,0.49658289551734924
39,train_pos,1,moth,insect,0.0,0.5825189352035522
39,train_pos,1,airplane,aircraft,0.0,0.5884682536125183
39,train_pos,1,bat,mammal,0.0,0.5584450960159302
39,train_pos,1,synagogue,religious building,0.0,0.5725733637809753
39,train_pos,1,power plant,industrial building,0.0,0.5469501614570618
39,train_pos,1,cereal,grain product,0.0,0.6034860014915466
39,train_pos,1,lecture hall,educational building,0.0,0.5035630464553833
39,train_pos,1,bassoon,woodwind,0.0,0.5611833333969116
39,train_pos,1,sailboat,watercraft,0.0,0.5958810448646545
39,train_pos,1,cap,headwear,0.0,0.6835174560546875
39,train_pos,1,cat,mammal,0.0,0.5337972044944763
39,train_pos,1,bus,road vehicle,0.0,0.6010279059410095
39,train_pos,1,wasp,insect,0.0,0.6071342825889587
39,train_pos,1,tulip,flowering plant,0.0,0.59173983335495
39,train_pos,1,helmet,headwear,0.0,0.7027608156204224
39,train_pos,1,reptile,animal,0.0,0.5669764280319214
39,train_pos,1,seagull,bird,0.0,0.5472410917282104
39,train_pos,1,rocket,spacecraft,0.0,0.5894738435745239
39,train_pos,1,tram,rail vehicle,0.0,0.5101275444030762
39,train_pos,1,sparrow,bird,0.0,0.5550400018692017
39,train_pos,1,fern,plant,0.0,0.5420504212379456
39,train_pos,1,temple,religious building,0.0,0.5427517890930176
39,train_pos,1,yacht,watercraft,0.0,0.6192524433135986
39,train_pos,1,maple,tree,0.0,0.5849536657333374
39,train_pos,1,kiwi,fruit,0.0,0.5831441283226013
39,train_pos,1,blueberry,fruit,0.0,0.5907608270645142
39,train_pos,1,bugle,brass instrument,0.0,0.5581879615783691
39,train_pos,1,mammal,animal,0.0,0.561216413974762
39,train_pos,1,instrument,physical object,0.0,0.5484834313392639
39,train_pos,1,lawn mower,gardening tool,0.0,0.5046846270561218
39,train_pos,1,alto saxophone,woodwind,0.0,0.5708922147750854
39,train_pos,1,boat,watercraft,0.0,0.5961707830429077
39,train_pos,1,building,physical object,0.0,0.5535269975662231
39,train_pos,1,beret,headwear,0.0,0.6833560466766357
39,train_pos,1,dragonfly,insect,0.0,0.6070800423622131
39,train_pos,1,hat,headwear,0.0,0.6938454508781433
39,train_pos,1,rice,grain product,0.0,0.5830022096633911
39,train_pos,1,jet,aircraft,0.0,0.5881459712982178
39,train_pos,1,plum,fruit,0.0,0.5815179944038391
39,train_pos,1,hammer,hand tool,0.0,0.5832444429397583
39,train_pos,1,lamb,meat,0.0,0.5676711201667786
39,train_pos,1,bee,insect,0.0,0.597110390663147
39,train_pos,1,goldfish,fish,0.0,0.5483764410018921
39,train_pos,1,hotel,commercial building,0.0,0.5470933318138123
39,train_pos,1,drum kit,percussion instrument,0.0,0.5642662048339844
39,train_pos,1,triangle,percussion instrument,0.0,0.5680776834487915
39,train_pos,1,subway train,rail vehicle,0.0,0.5417757034301758
39,train_pos,1,crow,bird,0.0,0.5459229350090027
39,train_pos,1,minibus,road vehicle,0.0,0.5907127857208252
39,train_pos,1,snare drum,percussion instrument,0.0,0.5518766641616821
39,train_pos,1,tiger,mammal,0.0,0.5508300065994263
39,train_pos,1,snake,reptile,0.0,0.5510573387145996
